Genre_04_nouns.csv
Unique nouns: 751, Total nouns: 1792
Total time: Uncomputed,Cost per noun: Uncomputed
rpg,"['A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.', 'Role-Playing Game (RPG) â€” see also Tabletop Games (Tabletop RPG): A game in which the player controls a character or party of characters in a statistically abstracted way.', 'Action RPG : A game that combines parts from Role Playing Games and Action Adventure Games together.', '(ex: NetHack )\n\nSouls-like RPG : A game that emphasizes dodging attacks during combat, with tough mooks, even harder bosses and very few checkpoints.', '(ex: Nioh , Bloodborne )\n\nStrategy RPG (SRPG): A game that is a Role Playing Game, but it plays like a Turn-Based Strategy or Real-Time Strategy.', '\n\nWestern RPG : A North American or European game that features a customizable featureless protagonist.', '(ex: Mass Effect , The Elder Scrolls )\n\nEastern RPG : A usually Japanese game that tends to have a linear plot and a party of predefined characters written into said plot.', ""\n\nRPG Elements : A game that isn't exactly a Role-Playing Game , but the player character is gaining experience points and levels like in an RPG.""]",10
elements,"['A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.']",1
acquisition,"['A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.']",1
world,"['A First or Third-Person Shooter incorporating RPG Elements , namely, the acquisition of better gear by finding it in the world.', '(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', 'Massively Multiplayer Online Role-Playing Game (MMORPG): A game that has hundreds of players interacting with each other in the same world in real-time, which completing quests and leveling up.', '(ex: World of Warcraft , MapleStory )\n\nMUCK :', 'Immersive Sim : A game that simulates a consistent lived-in world, facilitates Emergent Gameplay , and rewards creative problem solving.', '(ex: Where in the World is Carmen Sandiego? )', '\n\nWide-Open Sandbox : When the massive open world and optional material outweigh the actual, goal-oriented game play.']",7
borderland,"['(ex: Borderlands , Escape from Tarkov )\n\nRail Shooter :']",1
escape,"['(ex: Borderlands , Escape from Tarkov )\n\nRail Shooter :', ""(ex: Monkey Island , King's Quest )\n\nRoom Escape Game""]",2
tarkov,"['(ex: Borderlands , Escape from Tarkov )\n\nRail Shooter :']",1
rail,"['(ex: Borderlands , Escape from Tarkov )\n\nRail Shooter :']",1
computer,"['A game in which the computer controls most of your movement and you control the shots.', 'A multiplayer mode in the main game in which every player is on the same team and playing against the computer.', '\n\nTurn-Based: When the player and the computer take turns in making moves.', 'Beta Test : A development version of the game, built to test how the various components of the program interact with one another and the computer.']",4
movement,['A game in which the computer controls most of your movement and you control the shots.'],1
shot,['A game in which the computer controls most of your movement and you control the shots.'],1
star,"[""(ex: Star Fox )\n\nShoot 'em Up""]",1
fox,"[""(ex: Star Fox )\n\nShoot 'em Up""]",1
shmup,['(Shmups): A fixed-scrolling shooter that is not three-dimensional.'],1
space,"['(ex: Space Invaders )', '(ex: Mystery of Time and Space )\n\nVisual Novel : An Adventure Game that focuses more on character interactivity than world interactivity, with dialogue choices being the primary gameplay component.', '(ex: Tamagotchi )\n\nSpace-Management Game : A game in which the player is the head of some organization or business, and receives a set amount of resources (sometimes abstracted to money or generic points) with which to construct a facility.']",3
invaders,['(ex: Space Invaders )'],1
bullet,"[""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills.""]",1
shoot'em,"[""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", ""Cute 'em Up : A shoot'em up that casts the enemies as cute things such as kittens, candy, fairies, and so on."", ""A shoot'em up that has a horizontal Auto-Scrolling Level , that is, to the left or right."", ""A shoot'em up that has a vertical Auto Scrolling Level, that is, up or down.""]",4
fire,"[""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", '(ex: Fire Emblem ).']",2
hundred,"[""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", 'Massively Multiplayer Online Role-Playing Game (MMORPG): A game that has hundreds of players interacting with each other in the same world in real-time, which completing quests and leveling up.']",2
thousand,"[""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills."", 'Multi-User Dungeon ( MUD ) and MOO: An Interactive Fiction that allows multiple (perhaps thousands) players to play at the same time.']",2
projectile,"[""Bullet Hell : A shoot'em up that has every single enemy fire hundreds or thousands of projectiles on-screen at once at the player character, testing their dodging skills.""]",1
touhou,['(ex: Touhou )'],1
thing,"[""Cute 'em Up : A shoot'em up that casts the enemies as cute things such as kittens, candy, fairies, and so on.""]",1
kitten,"[""Cute 'em Up : A shoot'em up that casts the enemies as cute things such as kittens, candy, fairies, and so on.""]",1
